OBJECTID,CuarentenaID,Nombre,Estado,Alcance,FInicio,FTermino,Cut_Com,Detalle,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,1,Arica,1,2,2020-04-17 02:00:00.000000000,2020-05-08 02:00:00.000000000,15101,Corresponde al Radio Urbano de la Ciudad de Arica incluyendo la población San Miguel de Azapa,d03bd85c-9e0c-43be-9c53-92b75f0198af,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:09:59.348000050,28050418.8017578,48722.3000133714
2,2,Santiago Norte,1,4,2020-04-13 09:00:00.000000000,2020-05-08 02:00:00.000000000,13101,Corresponde a la extensión de la cuarentena en la comuna de Santiago con límite en la línea contínua de las calles Av.Matta y Blanco Encalada,1d643d6d-8955-4188-ae14-6fb4a3f1addc,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:10:04.973999977,19939218.5703125,21599.3513430565
3,3,Puente Alto Poniente,1,4,2020-04-10 02:00:00.000000000,2020-05-08 02:00:00.000000000,13201,Corresponde al sector delimitado por la Av. Concha y Toro hacia el poniente,52d8b31a-e552-4d86-a9bd-14c39bd647c4,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:10:11.079999924,42364268.2128906,30428.0515226124
4,4,El Bosque,1,1,2020-04-17 02:00:00.000000000,2020-05-08 02:00:00.000000000,13105,,a8e2e38d-6fe2-4cc1-a77c-e8f98afd4f17,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:10:24.118000031,20622713.2285156,18788.8707505944
5,5,San Bernardo Nororiente,1,4,2020-04-17 02:00:00.000000000,2020-05-08 02:00:00.000000000,13401,"Corresponde al sector delimitado por los limites comunales y al interior en Av. Colon, Av. Balmaceda y Autopista Central",b82acfd9-366c-4201-a777-0ad089db1fa4,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:10:28.336999893,16326216.8320313,24929.1457196278
9,9,Punta Arenas,1,2,2020-04-02 01:00:00.000000000,2020-05-08 02:00:00.000000000,12101,,9ff9e74a-202e-446c-8237-4da2582c4555,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:11:18.555999994,112704517.078125,77228.204896619
15,15,Ñuñoa Norte,1,4,2020-04-13 09:00:00.000000000,2020-05-08 02:00:00.000000000,13120,Corresponde a la extensión de la cuarentena en la comuna de Ñuñoa con límite en Av. Grecia,e409b4f2-6f5f-4035-a5c5-424a1f0c6d28,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:11:22.168999910,16724738.7675781,19686.674515162
31,31,Quinta Normal,1,1,2020-04-24 02:00:00.000000000,2020-05-08 02:00:00.000000000,13126,,85e82706-859e-44ce-9986-de57367f545b,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:11:37.184999943,17014139.1523438,21243.797016579
32,32,Pedro Aguirre Cerda,1,1,2020-04-24 02:00:00.000000000,2020-05-08 02:00:00.000000000,13121,,46ca91c9-a759-4994-a943-4b6e0ec6be4d,lzamudio@soporta.cl_soportachile,2020-04-23 03:43:38.051000118,lzamudio@soporta.cl_soportachile,2020-04-28 16:11:39.349999905,12625146.265625,15651.7189634514
36,34,Victoria,1,2,2020-05-01 02:00:00.000000000,2020-05-08 02:00:00.000000000,9211,Aplica solo al límite urbano de la ciudad,7eaa7f14-0f6f-44cd-ab33-fb9e06bbf097,lzamudio@soporta.cl_soportachile,2020-04-28 15:43:31.138999939,lzamudio@soporta.cl_soportachile,2020-05-01 02:28:45.427999973,9256998.9140625,36013.0185048258
